,Rotton Tommato,Film,Year
0,1,It Happened One Night,1934
1,2,Citizen Kane,1941
2,3,The Wizard of Oz,1939
3,4,Modern Times,1936
4,8,Casablanca,1942
5,17,The Godfather,1972
6,21,Sunset Blvd,1950
7,22,All About Eve,1950
8,24,The Philadelphia Story,1940
9,40,A Night at the Opera,1935
10,46,The Third Man,1949
11,47,Rear Window,1954
12,48,E.T. the Extra Terrestrial,1982
13,49,Seven Samurai,1954
14,50,La Grande Illusion,1937
15,52,Singin' in the Rain,1952
16,54,Double Indemnity,1944
17,56,Snow White and the Seven Dwarves,1937
18,62,The Best Years of Our Lives,1946
19,63,Metropolis,1927
20,67,The Maltese Falcon,1941
21,79,North by Northwest,1959
22,84,Alien,1979
23,85,King Kong,1933
24,88,Psycho,1960
